tmdb_id,release_date
9799,2001-06-22
72571,2011-10-19
9767,2006-06-01
1581,2006-12-05
38167,2010-08-12
10661,2008-06-05
9477,2004-07-07
41515,2010-12-17
1903,2001-12-14
7552,2005-12-21
64688,2012-03-14
8920,2004-06-10
10992,2001-07-04
2253,2008-12-25
2642,2002-12-19
39514,2010-10-13
64635,2012-08-02
10022,2005-03-04
80278,2012-09-09
7484,2006-09-27
12279,2003-07-25
4547,2002-03-29
1824,2004-02-13
72570,2012-02-05
9506,2003-04-11
2310,2007-11-05
7446,2008-08-09
4614,2002-05-31
3131,2002-12-14
23827,2007-09-14
533,2005-09-15
9291,2005-05-27
9383,2000-08-04
11007,2003-12-24
45772,2011-01-13
19912,2009-08-26
58224,2011-06-17
3563,2007-07-12
69,2005-09-13
10865,2001-06-02
388,2006-03-17
14836,2009-02-05
44826,2011-11-22
13183,2009-03-04
50359,2011-03-30
10481,2000-10-07
1970,2004-10-22
14560,2009-01-15
62764,2012-03-15
10756,2003-11-26
503,2006-05-03
11024,2004-03-24
4147,2002-07-12
24,2003-10-10
11529,2002-09-26
7551,2006-11-22
76493,2012-05-15
8698,2003-07-11
824,2001-05-18
9480,2003-02-14
10184,2009-02-06
13027,2008-09-25
4257,2006-04-12
5966,2004-01-16
565916,2006-04-20
11619,2006-10-22
142,2005-10-22
57212,2011-12-25
41436,2010-10-20
9919,2003-02-07
395,2004-08-12
6957,2005-08-11
34544,2010-06-09
65057,2011-09-09
10808,2001-06-22
9654,2003-05-30
7350,2007-12-25
49849,2011-07-29
2698,2007-06-09
9600,2000-05-31
49530,2011-10-27
2289,2003-12-24
855,2001-12-28
9021,2002-09-29
19899,2009-09-19
1372,2006-12-08
6977,2007-11-09
2022,2002-06-28
8363,2007-08-17
7191,2008-01-15
27581,2010-08-06
9384,2004-03-05
4380,2004-10-15
10996,2002-07-19
38317,2011-07-06
1267,2007-03-23
11688,2000-12-15
9472,2004-06-18
11321,2008-12-18
44048,2010-11-04
1966,2004-11-21
77930,2012-06-28
22947,2009-12-04
9880,2001-08-03
9334,2002-04-18
64328,2011-11-23
214,2006-10-26
10708,2003-05-09
8204,2008-02-14
12193,2008-11-26
82,2006-07-27
4944,2008-09-05
8645,2008-06-11
18221,2002-04-17
1852,2006-08-09
9718,2006-08-04
1635,2005-07-21
179,2005-04-08
1904,2005-12-06
51876,2011-03-17
4234,2000-02-04
87502,2012-02-22
10320,2005-03-10
10330,2003-08-05
9486,2003-03-14
11253,2008-07-11
6557,2008-01-10
52520,2012-01-19
1996,2003-07-21
58233,2011-09-15
9757,2007-02-08
8065,2008-03-27
41233,2010-08-04
9615,2006-06-03
12096,2006-02-10
187,2005-04-01
55779,2011-08-12
20504,2010-01-14
59962,2012-02-14
6023,2007-11-15
322,2003-10-08
1246,2006-12-20
18126,2009-04-10
13811,2009-03-19
36586,2002-03-22
1125,2006-12-25
7303,2002-12-13
4379,2005-05-13
9833,2004-12-08
23168,2010-09-15
59108,2011-11-02
215,2005-10-28
392,2000-12-22
35056,2010-04-08
393,2004-04-16
7461,2008-02-01
13885,2007-12-20
51052,2011-11-10
59436,2011-05-11
8328,2008-02-14
74534,2012-02-23
65759,2011-11-17
18487,2009-06-10
46529,2011-02-18
71880,2011-11-11
50544,2011-07-21
14405,2008-10-03
2123,2000-06-22
41630,2011-01-21
9408,2007-06-08
9986,2006-12-07
4464,2003-07-22
10054,2001-03-18
13680,2007-09-28
6073,2001-03-01
7737,2007-09-20
45612,2011-03-30
9705,2001-06-08
11172,2007-02-09
13700,2004-04-02
8643,2005-09-09
50646,2011-07-29
76726,2012-02-01
11451,2005-06-22
1907,2000-02-03
1535,2001-11-18
82990,2012-10-17
1656,2005-10-24
62838,2011-12-08
8835,2001-07-13
9513,2006-06-15
4970,2003-11-21
11565,2006-01-26
11820,2003-12-19
4248,2001-07-04
9889,2001-11-01
11836,2004-11-19
7978,2010-02-10
85446,2012-07-26
9297,2006-06-30
41216,2010-07-10
663,2007-10-25
18480,2009-07-08
11467,2001-07-17
1265,2007-02-15
39538,2011-09-08
2270,2007-08-10
10637,2000-09-29
27573,2010-03-16
16996,2009-03-11
41439,2010-10-22
56427,2003-02-28
14873,2003-02-07
1164,2006-10-26
1427,2006-09-13
33909,2010-09-20
11130,2004-08-06
752,2006-02-23
10588,2003-11-21
3021,2007-06-22
97630,2012-12-19
10678,2003-03-07
71676,2011-12-10
52451,2011-08-31
9816,2001-01-12
9722,2005-06-21
1584,2003-10-03
4347,2007-02-27
612,2005-12-23
48138,2011-02-16
1819,2006-07-13
83542,2012-10-26
9509,2004-04-23
440,2007-12-25
6877,2006-03-10
10625,2004-04-30
24803,2009-08-06
1577,2004-09-10
45317,2010-12-10
9641,2005-12-21
65086,2012-02-03
245,2002-04-26
36648,2004-12-08
5551,2000-08-04
9038,2007-10-05
12133,2008-07-25
1729,2008-04-17
38050,2011-03-03
22803,2009-10-15
3536,2000-04-20
11096,2005-01-27
34851,2010-07-07
10327,2003-07-02
5994,2000-12-12
1677,2004-10-29
4348,2005-09-16
2135,2002-03-04
1165,2006-09-15
12107,2000-07-27
11283,2005-10-21
587,2003-12-25
72197,2012-03-12
9023,2002-05-24
19959,2009-09-24
22954,2009-12-11
10601,2003-12-18
1579,2006-12-07
9036,2006-02-17
423,2002-09-17
74465,2011-11-26
806,2006-06-06
11775,2003-10-10
88042,2012-12-25
9285,2000-05-19
153,2003-09-18
9488,2002-08-07
6538,2007-12-19
7364,2005-04-06
2251,2002-05-10
9286,2006-02-09
11917,2008-10-23
9955,2007-03-30
3933,2005-09-12
8271,2007-03-27
10145,2004-09-24
9476,2001-05-11
9620,2003-12-25
16290,2010-10-15
55787,2011-04-15
15189,2009-01-16
866,2004-10-29
9907,2006-08-04
6466,2003-08-15
72331,2012-06-20
71688,2011-12-26
2789,2004-06-11
23437,2010-04-30
114150,2012-09-28
11036,2004-06-25
2288,2004-12-03
10521,2009-01-09
22971,2010-02-04
2044,2006-06-16
10590,2002-03-01
82696,2012-08-07
9762,2006-08-11
21407,2009-07-09
6282,2000-07-30
320,2002-05-24
11371,2001-07-13
3580,2008-10-24
12113,2008-10-09
7555,2008-01-24
12153,2004-06-23
9532,2000-03-17
39691,2010-07-29
23023,2010-01-14
834,2006-01-12
8676,2008-02-07
2067,2000-03-10
6519,2005-08-05
4244,2000-07-07
60308,2011-09-23
10982,2005-12-16
16690,2002-02-14
1124,2006-10-17
9016,2002-11-26
9675,2004-10-22
71,2000-09-28
13387,2008-11-26
10946,2007-10-10
8055,2008-12-10
590,2002-12-27
48340,2011-02-03
921,2005-06-02
20048,2009-02-05
2023,2004-02-04
9373,2003-05-21
479,2000-06-15
10065,2005-04-14
77174,2012-08-03
120454,2007-12-02
44603,2010-10-22
10761,2008-04-30
13836,2009-03-13
2069,2000-02-18
2755,2002-12-12
38408,2010-10-02
4442,2005-08-26
2043,2001-04-06
9870,2008-04-17
16866,2009-11-19
77953,2012-08-09
2034,2001-10-05
7453,2005-04-28
10771,2002-09-27
8843,2000-08-18
176,2004-10-01
54318,2007-12-25
16340,2000-11-17
11638,2005-03-25
1576,2002-03-15
9007,2005-09-16
14435,2009-01-16
43347,2010-11-22
57214,2012-03-01
19908,2009-10-02
12556,2009-05-01
9904,2006-04-06
924,2004-03-19
8470,2002-02-15
9890,2004-06-10
76487,2012-01-06
88751,2008-07-10
10189,2008-08-06
9072,2006-08-31
12090,2003-01-08
10040,2005-03-11
24420,2009-08-14
1620,2007-11-21
1647,2003-01-31
588,2006-04-21
11128,2004-10-01
773,2006-07-26
1247,2006-12-11
16523,2009-10-16
49018,2011-03-31
10488,2008-04-03
12103,2001-09-28
77877,2012-04-19
1487,2004-04-02
8584,2000-05-26
9353,2006-06-16
54518,2011-02-11
1428,2003-09-11
1640,2005-05-06
9397,2001-06-08
37821,2010-06-04
39513,2011-02-14
11637,2005-01-20
1817,2003-01-06
5375,2007-11-09
41446,2011-04-13
25,2005-11-04
853,2001-02-28
1954,2004-01-17
22949,2009-11-24
8696,2003-09-02
10096,2004-04-13
5038,2008-08-15
77866,2012-01-12
23483,2010-03-26
14462,2004-07-30
8452,2000-11-17
67660,2012-04-20
48171,2011-01-28
10024,2009-06-26
277,2003-09-19
7485,2007-03-22
1273,2007-03-23
62837,2011-09-22
4551,2005-03-04
2752,2002-03-01
4643,2006-09-28
1537,2002-04-07
22972,2010-03-11
2018,2001-01-26
9913,2005-07-29
231,2005-11-23
7459,2008-05-07
7980,2009-12-26
35019,2010-03-26
4566,2007-09-28
1586,2004-03-12
9043,2005-12-15
3638,2007-06-15
10950,2001-12-28
15373,2008-11-07
8292,2005-08-11
12437,2009-01-22
16538,2009-03-20
8007,2001-11-30
